freq,psd_x,psd_y,psd_z,psd_xyz
129.8,7.118e+03,3.314e+05,1.486e+05,4.871e+05
131.3,5.718e+03,3.121e+05,1.453e+05,4.631e+05
132.9,6.082e+03,1.769e+05,8.592e+04,2.689e+05
134.4,6.856e+03,2.217e+04,1.480e+04,4.382e+04
135.9,6.126e+03,5.539e+03,6.240e+03,1.790e+04
137.4,6.280e+03,5.116e+03,5.489e+03,1.688e+04
138.9,7.237e+03,4.751e+03,5.118e+03,1.711e+04
140.4,7.657e+03,4.481e+03,4.830e+03,1.697e+04
141.9,7.775e+03,4.534e+03,4.608e+03,1.692e+04
143.4,7.823e+03,4.545e+03,4.371e+03,1.674e+04
144.9,7.868e+03,4.536e+03,4.214e+03,1.662e+04
146.4,8.048e+03,4.516e+03,3.992e+03,1.656e+04
148.0,8.332e+03,4.456e+03,3.808e+03,1.660e+04
149.5,9.071e+03,4.909e+03,3.750e+03,1.773e+04
151.0,9.942e+03,5.022e+03,3.539e+03,1.850e+04
152.5,1.035e+04,4.820e+03,3.312e+03,1.848e+04
154.0,1.037e+04,4.691e+03,3.231e+03,1.829e+04
155.5,9.800e+03,4.497e+03,3.511e+03,1.781e+04
157.0,8.701e+03,4.255e+03,3.909e+03,1.686e+04
158.5,8.063e+03,3.982e+03,3.824e+03,1.587e+04
160.0,7.127e+03,3.768e+03,3.660e+03,1.456e+04
161.5,6.108e+03,3.604e+03,3.232e+03,1.294e+04
163.0,5.418e+03,3.287e+03,2.612e+03,1.132e+04
164.6,4.453e+03,3.007e+03,1.963e+03,9.424e+03
166.1,3.868e+03,2.872e+03,1.655e+03,8.395e+03
167.6,3.497e+03,2.901e+03,1.623e+03,8.021e+03
169.1,3.406e+03,2.882e+03,1.682e+03,7.971e+03
170.6,3.191e+03,3.142e+03,1.883e+03,8.216e+03
172.1,2.749e+03,4.132e+03,2.554e+03,9.435e+03
173.6,2.343e+03,4.676e+03,2.857e+03,9.875e+03
175.1,2.125e+03,4.539e+03,2.631e+03,9.295e+03
176.6,2.145e+03,4.486e+03,2.559e+03,9.190e+03
178.1,2.336e+03,4.408e+03,2.514e+03,9.258e+03
179.7,2.577e+03,4.145e+03,2.604e+03,9.326e+03
181.2,2.605e+03,3.702e+03,2.716e+03,9.023e+03
182.7,2.546e+03,3.682e+03,2.807e+03,9.035e+03
184.2,2.592e+03,3.665e+03,3.386e+03,9.643e+03
185.7,2.809e+03,3.639e+03,3.418e+03,9.866e+03
187.2,2.964e+03,3.672e+03,3.450e+03,1.009e+04
188.7,2.984e+03,3.292e+03,3.646e+03,9.922e+03
190.2,2.857e+03,2.977e+03,3.479e+03,9.312e+03
191.7,2.872e+03,2.828e+03,3.096e+03,8.797e+03
193.2,2.942e+03,2.674e+03,2.687e+03,8.304e+03
194.8,3.166e+03,2.619e+03,2.230e+03,8.015e+03
196.3,3.609e+03,2.726e+03,1.853e+03,8.189e+03
197.8,4.334e+03,2.997e+03,1.603e+03,8.934e+03
199.3,5.546e+03,3.375e+03,1.367e+03,1.029e+04
