freq,psd_x,psd_y,psd_z,psd_xyz
169.1,2.461e+04,2.438e+03,7.990e+02,2.785e+04
170.6,2.806e+04,2.296e+03,8.046e+02,3.116e+04
172.2,4.002e+04,2.318e+03,1.045e+03,4.338e+04
173.7,4.582e+04,2.229e+03,1.234e+03,4.928e+04
175.2,4.183e+04,2.110e+03,1.242e+03,4.518e+04
176.7,3.827e+04,2.108e+03,1.419e+03,4.179e+04
178.2,3.552e+04,2.030e+03,1.669e+03,3.921e+04
179.7,3.408e+04,1.931e+03,1.927e+03,3.794e+04
181.2,3.287e+04,1.920e+03,2.249e+03,3.704e+04
182.7,3.202e+04,1.952e+03,2.498e+03,3.647e+04
184.2,3.068e+04,1.947e+03,2.750e+03,3.537e+04
185.8,3.091e+04,1.793e+03,2.909e+03,3.562e+04
187.3,3.211e+04,1.737e+03,2.882e+03,3.673e+04
188.8,3.463e+04,1.672e+03,2.662e+03,3.896e+04
190.3,3.629e+04,1.519e+03,2.319e+03,4.013e+04
191.8,3.488e+04,1.415e+03,1.832e+03,3.812e+04
193.3,3.598e+04,1.348e+03,1.698e+03,3.903e+04
194.8,3.803e+04,1.458e+03,1.691e+03,4.117e+04
196.3,3.987e+04,1.420e+03,1.656e+03,4.295e+04
197.8,4.204e+04,1.430e+03,1.660e+03,4.513e+04
199.3,4.626e+04,1.410e+03,1.538e+03,4.921e+04
