freq,psd_x,psd_y,psd_z,psd_xyz,zv(59.8),mzv(37.2),ei(50.6),2hump_ei(46.8),3hump_ei(51.8)
28.7,1.034e+02,4.321e+03,2.919e+02,4.717e+03,0.686,0.235,0.318,0.074,0.042
30.2,9.606e+01,5.015e+03,2.936e+02,5.404e+03,0.658,0.188,0.275,0.048,0.037
31.7,7.776e+01,5.558e+03,4.175e+02,6.053e+03,0.629,0.143,0.234,0.032,0.038
33.2,9.504e+01,5.024e+03,5.946e+02,5.713e+03,0.599,0.100,0.195,0.028,0.040
34.7,1.324e+02,4.344e+03,6.424e+02,5.119e+03,0.569,0.062,0.158,0.032,0.040
36.2,1.636e+02,4.770e+03,7.517e+02,5.685e+03,0.537,0.040,0.125,0.036,0.037
37.8,2.121e+02,4.937e+03,8.735e+02,6.022e+03,0.506,0.035,0.094,0.038,0.032
39.3,2.268e+02,4.301e+03,8.942e+02,5.422e+03,0.473,0.048,0.067,0.037,0.025
40.8,2.203e+02,3.645e+03,8.725e+02,4.738e+03,0.440,0.069,0.044,0.034,0.018
42.3,1.983e+02,3.044e+03,8.654e+02,4.108e+03,0.407,0.090,0.027,0.028,0.013
43.8,1.599e+02,2.502e+03,8.931e+02,3.555e+03,0.373,0.107,0.020,0.020,0.012
45.3,1.132e+02,2.032e+03,9.633e+02,3.108e+03,0.339,0.120,0.024,0.013,0.017
46.8,7.224e+01,1.672e+03,1.067e+03,2.811e+03,0.304,0.128,0.032,0.011,0.022
48.3,6.730e+01,1.388e+03,1.249e+03,2.704e+03,0.270,0.133,0.037,0.013,0.026
49.8,8.059e+01,1.220e+03,1.792e+03,3.092e+03,0.235,0.133,0.040,0.019,0.029
51.3,3.989e+01,1.264e+03,2.114e+03,3.417e+03,0.200,0.129,0.039,0.025,0.030
52.9,8.948e+00,1.102e+03,2.367e+03,3.477e+03,0.166,0.121,0.035,0.030,0.029
54.4,1.612e+01,8.692e+02,3.675e+03,4.560e+03,0.131,0.109,0.031,0.032,0.026
55.9,3.748e+01,9.302e+02,5.147e+03,6.115e+03,0.102,0.097,0.028,0.031,0.021
57.4,3.748e+01,1.253e+03,5.590e+03,6.880e+03,0.079,0.090,0.028,0.027,0.015
58.9,2.059e+01,1.497e+03,4.896e+03,6.414e+03,0.065,0.084,0.033,0.027,0.013
60.4,1.283e+01,1.573e+03,3.985e+03,5.571e+03,0.063,0.080,0.043,0.028,0.012
61.9,3.241e+01,1.481e+03,3.035e+03,4.549e+03,0.076,0.082,0.057,0.032,0.013
63.4,8.675e+01,1.359e+03,2.397e+03,3.843e+03,0.097,0.089,0.081,0.039,0.015
64.9,1.522e+02,1.354e+03,2.328e+03,3.835e+03,0.123,0.102,0.107,0.049,0.020
66.5,1.956e+02,1.361e+03,2.268e+03,3.824e+03,0.155,0.118,0.134,0.074,0.023
68.0,1.882e+02,1.078e+03,1.606e+03,2.872e+03,0.188,0.138,0.164,0.102,0.025
69.5,1.909e+02,7.562e+02,8.946e+02,1.842e+03,0.220,0.173,0.194,0.132,0.024
71.0,1.749e+02,4.813e+02,4.131e+02,1.069e+03,0.252,0.210,0.225,0.164,0.024
72.5,1.240e+02,4.168e+02,4.230e+02,9.638e+02,0.284,0.247,0.257,0.197,0.025
74.0,1.290e+02,6.940e+02,7.791e+02,1.602e+03,0.314,0.284,0.289,0.230,0.027
75.5,1.306e+02,8.129e+02,7.692e+02,1.713e+03,0.345,0.321,0.320,0.264,0.031
77.0,1.170e+02,5.782e+02,4.325e+02,1.128e+03,0.374,0.357,0.352,0.297,0.038
78.5,1.260e+02,4.497e+02,2.946e+02,8.703e+02,0.403,0.391,0.382,0.328,0.049
80.0,1.254e+02,4.076e+02,2.416e+02,7.746e+02,0.431,0.425,0.412,0.358,0.072
81.6,1.173e+02,4.055e+02,2.492e+02,7.720e+02,0.458,0.456,0.440,0.386,0.097
83.1,1.164e+02,3.882e+02,2.495e+02,7.541e+02,0.484,0.486,0.467,0.410,0.124
84.6,1.288e+02,3.446e+02,2.192e+02,6.926e+02,0.509,0.513,0.493,0.432,0.152
86.1,1.369e+02,3.334e+02,2.101e+02,6.803e+02,0.534,0.537,0.516,0.449,0.181
87.6,1.305e+02,3.743e+02,2.364e+02,7.412e+02,0.557,0.559,0.537,0.463,0.210
89.1,1.039e+02,3.912e+02,2.469e+02,7.421e+02,0.579,0.578,0.556,0.473,0.238
90.6,8.666e+01,3.706e+02,2.294e+02,6.867e+02,0.601,0.594,0.572,0.478,0.265
92.1,7.845e+01,3.455e+02,2.083e+02,6.323e+02,0.621,0.607,0.586,0.479,0.290
93.6,5.844e+01,3.353e+02,1.935e+02,5.871e+02,0.640,0.616,0.597,0.475,0.313
95.1,4.171e+01,3.188e+02,1.721e+02,5.326e+02,0.658,0.623,0.606,0.468,0.332
96.7,3.811e+01,2.967e+02,1.480e+02,4.828e+02,0.675,0.625,0.611,0.456,0.348
98.2,4.301e+01,2.456e+02,1.147e+02,4.033e+02,0.691,0.625,0.614,0.440,0.360
99.7,4.035e+01,2.218e+02,1.057e+02,3.679e+02,0.705,0.621,0.614,0.421,0.368
101.2,3.800e+01,2.222e+02,1.086e+02,3.688e+02,0.719,0.614,0.611,0.400,0.371
102.7,3.199e+01,2.519e+02,1.228e+02,4.067e+02,0.731,0.604,0.605,0.375,0.371
104.2,2.538e+01,2.577e+02,1.227e+02,4.058e+02,0.742,0.591,0.597,0.348,0.366
105.7,2.793e+01,2.441e+02,1.135e+02,3.855e+02,0.751,0.575,0.586,0.320,0.357
107.2,2.994e+01,2.373e+02,1.096e+02,3.768e+02,0.760,0.557,0.572,0.291,0.345
108.7,3.097e+01,2.200e+02,1.025e+02,3.535e+02,0.767,0.536,0.556,0.261,0.329
110.2,3.771e+01,2.078e+02,9.897e+01,3.445e+02,0.773,0.513,0.538,0.231,0.310
111.8,4.724e+01,2.022e+02,9.717e+01,3.466e+02,0.778,0.488,0.518,0.202,0.289
113.3,5.702e+01,1.931e+02,9.509e+01,3.452e+02,0.781,0.461,0.497,0.174,0.265
114.8,6.865e+01,1.802e+02,8.886e+01,3.377e+02,0.783,0.433,0.473,0.147,0.241
116.3,7.103e+01,1.640e+02,7.841e+01,3.135e+02,0.784,0.403,0.449,0.121,0.215
117.8,8.138e+01,1.531e+02,7.623e+01,3.107e+02,0.784,0.373,0.423,0.099,0.190
119.3,1.072e+02,1.412e+02,7.278e+01,3.212e+02,0.782,0.343,0.396,0.089,0.164
120.8,1.607e+02,1.143e+02,5.978e+01,3.347e+02,0.780,0.312,0.368,0.081,0.140
122.3,5.237e+02,7.663e+01,4.047e+01,6.408e+02,0.776,0.281,0.340,0.074,0.117
123.8,1.184e+03,8.763e+01,4.712e+01,1.319e+03,0.770,0.251,0.312,0.068,0.095
125.3,7.320e+02,1.314e+02,6.978e+01,9.332e+02,0.764,0.225,0.284,0.063,0.076
126.9,5.096e+02,1.404e+02,7.244e+01,7.225e+02,0.757,0.212,0.257,0.059,0.064
128.4,5.826e+02,1.474e+02,7.496e+01,8.049e+02,0.748,0.201,0.229,0.056,0.058
129.9,6.475e+02,1.576e+02,7.906e+01,8.841e+02,0.738,0.190,0.203,0.053,0.053
131.4,6.733e+02,1.586e+02,7.973e+01,9.116e+02,0.728,0.181,0.178,0.051,0.049
132.9,3.769e+02,8.343e+01,4.254e+01,5.029e+02,0.716,0.174,0.160,0.050,0.045
134.4,1.103e+02,8.903e+00,4.932e+00,1.241e+02,0.703,0.167,0.149,0.048,0.042
135.9,9.479e+01,3.104e+00,2.053e+00,9.995e+01,0.689,0.162,0.139,0.047,0.039
137.4,9.148e+01,3.344e+00,2.029e+00,9.685e+01,0.674,0.158,0.130,0.047,0.037
138.9,7.653e+01,3.447e+00,1.943e+00,8.191e+01,0.658,0.155,0.122,0.047,0.035
140.5,6.899e+01,3.351e+00,2.004e+00,7.434e+01,0.642,0.153,0.115,0.047,0.034
142.0,7.388e+01,3.691e+00,2.220e+00,7.979e+01,0.624,0.151,0.109,0.047,0.033
143.5,8.271e+01,3.786e+00,2.081e+00,8.858e+01,0.606,0.150,0.104,0.048,0.032
145.0,7.822e+01,3.448e+00,2.001e+00,8.367e+01,0.587,0.150,0.101,0.049,0.031
146.5,5.588e+01,3.443e+00,2.061e+00,6.138e+01,0.567,0.150,0.098,0.051,0.030
148.0,5.389e+01,3.490e+00,1.967e+00,5.935e+01,0.546,0.150,0.096,0.053,0.030
149.5,5.180e+01,3.675e+00,2.030e+00,5.751e+01,0.525,0.151,0.095,0.055,0.030
151.0,4.436e+01,3.615e+00,2.101e+00,5.008e+01,0.503,0.152,0.095,0.057,0.029
152.5,3.843e+01,3.626e+00,2.248e+00,4.430e+01,0.480,0.153,0.096,0.060,0.029
154.0,3.582e+01,3.396e+00,2.332e+00,4.155e+01,0.458,0.154,0.097,0.063,0.029
155.6,2.920e+01,3.004e+00,2.173e+00,3.437e+01,0.434,0.156,0.099,0.067,0.030
157.1,2.473e+01,2.740e+00,1.924e+00,2.939e+01,0.411,0.159,0.102,0.071,0.030
158.6,2.382e+01,2.678e+00,1.717e+00,2.822e+01,0.387,0.162,0.105,0.075,0.030
160.1,2.178e+01,2.483e+00,1.662e+00,2.592e+01,0.372,0.166,0.109,0.080,0.030
161.6,1.900e+01,2.461e+00,1.585e+00,2.305e+01,0.359,0.170,0.114,0.085,0.031
163.1,1.624e+01,2.604e+00,1.531e+00,2.038e+01,0.348,0.175,0.119,0.100,0.032
164.6,1.349e+01,2.701e+00,1.598e+00,1.779e+01,0.337,0.180,0.125,0.116,0.032
166.1,1.191e+01,2.706e+00,1.535e+00,1.615e+01,0.326,0.187,0.131,0.132,0.033
167.6,1.256e+01,2.888e+00,1.561e+00,1.701e+01,0.317,0.193,0.139,0.149,0.034
169.1,1.219e+01,2.811e+00,1.628e+00,1.663e+01,0.308,0.200,0.146,0.166,0.036
170.7,8.708e+00,2.773e+00,1.574e+00,1.306e+01,0.301,0.207,0.156,0.183,0.037
172.2,6.221e+00,2.625e+00,1.543e+00,1.039e+01,0.294,0.223,0.175,0.199,0.039
173.7,6.747e+00,2.828e+00,1.685e+00,1.126e+01,0.289,0.244,0.195,0.214,0.040
175.2,6.939e+00,2.967e+00,1.759e+00,1.167e+01,0.286,0.265,0.215,0.228,0.042
176.7,7.554e+00,2.759e+00,1.522e+00,1.184e+01,0.283,0.286,0.235,0.241,0.044
178.2,8.723e+00,2.886e+00,1.443e+00,1.305e+01,0.282,0.306,0.254,0.252,0.047
179.7,8.261e+00,2.965e+00,1.332e+00,1.256e+01,0.283,0.326,0.274,0.261,0.049
181.2,7.621e+00,2.959e+00,1.196e+00,1.178e+01,0.284,0.344,0.292,0.268,0.052
182.7,7.620e+00,3.735e+00,1.444e+00,1.280e+01,0.287,0.362,0.310,0.273,0.056
184.2,8.819e+00,5.503e+00,2.257e+00,1.658e+01,0.291,0.378,0.327,0.276,0.065
185.8,8.083e+00,6.476e+00,2.794e+00,1.735e+01,0.296,0.392,0.343,0.276,0.076
187.3,4.805e+00,3.591e+00,1.379e+00,9.775e+00,0.302,0.405,0.358,0.274,0.087
188.8,3.333e+00,2.991e+00,1.242e+00,7.566e+00,0.309,0.416,0.371,0.271,0.098
190.3,2.921e+00,3.505e+00,1.567e+00,7.993e+00,0.316,0.425,0.383,0.265,0.110
191.8,2.418e+00,3.558e+00,1.596e+00,7.571e+00,0.324,0.432,0.393,0.257,0.122
193.3,2.162e+00,2.998e+00,1.721e+00,6.881e+00,0.333,0.437,0.402,0.248,0.134
194.8,1.956e+00,2.578e+00,1.859e+00,6.394e+00,0.341,0.441,0.409,0.237,0.144
196.3,1.612e+00,2.336e+00,1.891e+00,5.839e+00,0.350,0.442,0.415,0.225,0.154
197.8,1.328e+00,2.081e+00,1.872e+00,5.281e+00,0.360,0.441,0.418,0.212,0.163
199.4,1.230e+00,2.436e+00,1.977e+00,5.643e+00,0.375,0.438,0.420,0.198,0.170
