freq,psd_x,psd_y,psd_z,psd_xyz,zv(59.8),mzv(37.2),ei(50.6),2hump_ei(46.8),3hump_ei(51.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.989,0.990,0.982,0.978
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.973,0.975,0.956,0.946
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.953,0.956,0.923,0.905
6.0,4.097e+00,1.971e+02,8.668e+00,2.099e+02,0.974,0.927,0.933,0.882,0.856
7.6,2.963e+00,2.427e+02,6.783e+00,2.525e+02,0.964,0.898,0.907,0.835,0.800
9.1,2.735e+00,3.144e+02,5.827e+00,3.230e+02,0.952,0.864,0.877,0.783,0.738
10.6,2.661e+00,3.961e+02,5.216e+00,4.040e+02,0.939,0.826,0.843,0.726,0.672
12.1,2.513e+00,4.941e+02,4.916e+00,5.015e+02,0.925,0.786,0.807,0.667,0.603
13.6,2.338e+00,5.885e+02,4.383e+00,5.952e+02,0.909,0.742,0.768,0.605,0.533
15.1,2.182e+00,6.921e+02,4.875e+00,6.991e+02,0.892,0.695,0.727,0.541,0.464
16.6,1.943e+00,8.177e+02,6.694e+00,8.263e+02,0.874,0.647,0.684,0.478,0.396
18.1,1.849e+00,9.844e+02,1.015e+01,9.964e+02,0.854,0.596,0.640,0.415,0.331
19.6,2.015e+00,1.217e+03,1.672e+01,1.236e+03,0.834,0.545,0.594,0.355,0.270
21.1,2.643e+00,1.543e+03,2.900e+01,1.575e+03,0.812,0.492,0.548,0.297,0.214
22.7,5.057e+00,2.005e+03,5.682e+01,2.067e+03,0.789,0.440,0.501,0.243,0.164
24.2,1.261e+01,2.643e+03,1.130e+02,2.768e+03,0.764,0.387,0.454,0.192,0.121
25.7,4.013e+01,3.366e+03,1.987e+02,3.605e+03,0.739,0.335,0.408,0.147,0.085
27.2,8.788e+01,3.948e+03,2.808e+02,4.317e+03,0.713,0.285,0.362,0.108,0.058
