freq,psd_x,psd_y,psd_z,psd_xyz,zv(44.0),mzv(43.4),ei(51.8),2hump_ei(64.4),3hump_ei(77.0)
184.9,7.050e+00,2.862e+00,2.513e+00,1.242e+01,0.605,0.162,0.285,0.048,0.088
186.4,6.642e+00,3.092e+00,2.795e+00,1.253e+01,0.593,0.165,0.302,0.048,0.076
187.9,6.041e+00,3.731e+00,3.276e+00,1.305e+01,0.579,0.168,0.319,0.047,0.066
189.3,7.781e+00,5.305e+00,4.306e+00,1.739e+01,0.565,0.172,0.335,0.047,0.062
190.8,6.856e+00,6.318e+00,5.207e+00,1.838e+01,0.549,0.177,0.349,0.047,0.058
192.3,6.639e+00,6.985e+00,5.399e+00,1.902e+01,0.533,0.181,0.363,0.047,0.054
193.8,5.871e+00,6.212e+00,5.263e+00,1.735e+01,0.515,0.186,0.375,0.047,0.051
195.3,4.940e+00,4.919e+00,4.287e+00,1.415e+01,0.497,0.192,0.386,0.047,0.049
196.7,5.389e+00,4.691e+00,3.294e+00,1.337e+01,0.478,0.198,0.396,0.048,0.046
198.2,5.400e+00,4.406e+00,2.754e+00,1.256e+01,0.458,0.204,0.404,0.049,0.044
199.7,5.050e+00,4.643e+00,2.292e+00,1.199e+01,0.438,0.210,0.410,0.049,0.042
