freq,psd_x,psd_y,psd_z,psd_xyz
155.4,1.981e+04,1.047e+04,8.689e+04,1.172e+05
156.9,1.468e+04,8.350e+03,5.980e+04,8.283e+04
158.4,1.070e+04,5.987e+03,3.934e+04,5.603e+04
159.9,7.634e+03,4.041e+03,2.640e+04,3.808e+04
161.4,5.363e+03,2.791e+03,1.945e+04,2.761e+04
162.8,3.856e+03,2.243e+03,1.568e+04,2.178e+04
164.3,3.144e+03,2.108e+03,1.384e+04,1.910e+04
165.8,2.879e+03,2.059e+03,1.217e+04,1.711e+04
167.3,2.738e+03,1.976e+03,1.034e+04,1.506e+04
168.8,2.483e+03,1.737e+03,8.992e+03,1.321e+04
170.2,2.365e+03,1.636e+03,7.850e+03,1.185e+04
171.7,2.135e+03,1.494e+03,6.797e+03,1.043e+04
173.2,1.822e+03,1.287e+03,5.887e+03,8.997e+03
174.7,1.555e+03,1.134e+03,4.720e+03,7.409e+03
176.2,1.397e+03,9.699e+02,3.688e+03,6.054e+03
177.6,1.157e+03,8.491e+02,3.121e+03,5.127e+03
179.1,1.032e+03,7.646e+02,2.780e+03,4.576e+03
180.6,1.005e+03,6.809e+02,2.642e+03,4.327e+03
182.1,1.006e+03,6.176e+02,2.647e+03,4.270e+03
183.6,9.154e+02,6.399e+02,2.943e+03,4.498e+03
185.0,1.113e+03,7.356e+02,3.433e+03,5.281e+03
186.5,1.168e+03,8.239e+02,3.770e+03,5.762e+03
188.0,1.119e+03,7.741e+02,3.605e+03,5.498e+03
189.5,1.007e+03,7.117e+02,3.680e+03,5.399e+03
191.0,1.087e+03,7.213e+02,3.915e+03,5.723e+03
192.4,9.780e+02,8.124e+02,2.706e+03,4.497e+03
193.9,1.055e+03,9.203e+02,2.821e+03,4.797e+03
195.4,1.013e+03,7.628e+02,3.108e+03,4.884e+03
196.9,1.014e+03,8.107e+02,3.048e+03,4.873e+03
198.4,1.007e+03,8.838e+02,2.793e+03,4.684e+03
199.8,9.847e+02,9.476e+02,2.725e+03,4.657e+03
