freq,psd_x,psd_y,psd_z,psd_xyz,zv(49.6),mzv(48.4),ei(54.4),2hump_ei(59.0),3hump_ei(86.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.992,0.990,0.987,0.988
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.981,0.977,0.968,0.973
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.978,0.968,0.960,0.944,0.954
6.0,1.997e+02,6.699e+00,8.391e+00,2.147e+02,0.966,0.951,0.940,0.916,0.931
7.5,2.643e+02,4.817e+00,7.250e+00,2.764e+02,0.952,0.932,0.916,0.884,0.906
9.1,3.279e+02,3.662e+00,6.379e+00,3.380e+02,0.936,0.910,0.890,0.847,0.877
10.6,3.932e+02,3.113e+00,5.213e+00,4.016e+02,0.918,0.886,0.860,0.807,0.846
12.1,4.514e+02,3.153e+00,4.345e+00,4.589e+02,0.899,0.859,0.828,0.764,0.812
13.6,5.049e+02,3.217e+00,3.789e+00,5.119e+02,0.877,0.830,0.793,0.719,0.777
15.1,5.818e+02,2.596e+00,3.616e+00,5.881e+02,0.854,0.799,0.756,0.671,0.739
16.6,6.823e+02,2.384e+00,3.251e+00,6.880e+02,0.828,0.766,0.718,0.622,0.700
18.1,7.954e+02,2.449e+00,2.865e+00,8.007e+02,0.801,0.732,0.678,0.572,0.660
19.6,9.184e+02,2.018e+00,2.759e+00,9.232e+02,0.773,0.696,0.636,0.522,0.619
21.1,1.035e+03,1.928e+00,2.751e+00,1.039e+03,0.743,0.659,0.594,0.472,0.578
22.6,1.117e+03,1.999e+00,3.090e+00,1.122e+03,0.711,0.621,0.551,0.422,0.536
24.1,1.247e+03,1.887e+00,3.295e+00,1.252e+03,0.678,0.582,0.507,0.374,0.494
25.6,1.442e+03,1.851e+00,3.657e+00,1.447e+03,0.644,0.542,0.464,0.327,0.453
27.2,1.624e+03,1.804e+00,5.114e+00,1.631e+03,0.609,0.502,0.421,0.282,0.412
28.7,1.826e+03,1.817e+00,5.527e+00,1.834e+03,0.572,0.461,0.378,0.240,0.372
30.2,2.109e+03,1.767e+00,5.557e+00,2.116e+03,0.535,0.421,0.336,0.200,0.334
31.7,2.445e+03,1.772e+00,3.453e+00,2.450e+03,0.496,0.381,0.296,0.163,0.297
33.2,2.875e+03,2.084e+00,2.348e+00,2.879e+03,0.457,0.341,0.257,0.129,0.261
34.7,3.227e+03,3.391e+00,4.324e+00,3.235e+03,0.417,0.302,0.219,0.100,0.228
36.2,3.579e+03,5.232e+00,6.439e+00,3.591e+03,0.376,0.263,0.184,0.074,0.196
37.7,4.201e+03,3.528e+00,5.341e+00,4.210e+03,0.335,0.226,0.150,0.052,0.167
39.2,5.160e+03,2.082e+00,4.316e+00,5.167e+03,0.294,0.189,0.120,0.037,0.140
40.7,6.568e+03,2.071e+00,8.118e+00,6.578e+03,0.252,0.155,0.092,0.028,0.115
42.2,8.876e+03,2.832e+00,1.887e+01,8.898e+03,0.210,0.121,0.066,0.028,0.094
43.8,1.312e+04,1.197e+01,2.933e+01,1.316e+04,0.168,0.090,0.045,0.032,0.075
45.3,1.931e+04,4.899e+01,4.394e+01,1.941e+04,0.127,0.061,0.028,0.035,0.060
46.8,2.321e+04,1.069e+02,8.617e+01,2.341e+04,0.094,0.043,0.020,0.038,0.049
48.3,2.197e+04,1.422e+02,2.034e+02,2.231e+04,0.070,0.035,0.023,0.038,0.041
49.8,1.916e+04,1.173e+02,2.618e+02,1.954e+04,0.062,0.038,0.029,0.037,0.037
51.3,1.549e+04,1.099e+02,3.976e+02,1.600e+04,0.075,0.049,0.035,0.034,0.037
52.8,1.269e+04,1.515e+02,7.298e+02,1.357e+04,0.100,0.066,0.039,0.029,0.038
54.3,1.095e+04,1.422e+02,7.797e+02,1.187e+04,0.135,0.083,0.040,0.024,0.039
55.8,1.049e+04,1.767e+02,8.412e+02,1.151e+04,0.174,0.097,0.038,0.017,0.040
57.3,8.695e+03,2.024e+02,1.211e+03,1.011e+04,0.213,0.110,0.033,0.012,0.040
58.8,6.765e+03,1.277e+02,8.812e+02,7.774e+03,0.251,0.119,0.030,0.011,0.039
60.3,5.509e+03,1.011e+02,6.485e+02,6.258e+03,0.289,0.126,0.028,0.012,0.037
61.9,4.812e+03,9.270e+01,5.252e+02,5.430e+03,0.326,0.131,0.029,0.015,0.035
63.4,4.013e+03,7.753e+01,4.173e+02,4.508e+03,0.362,0.133,0.033,0.021,0.031
64.9,3.114e+03,9.528e+01,4.370e+02,3.646e+03,0.397,0.133,0.042,0.026,0.027
66.4,2.332e+03,1.346e+02,5.468e+02,3.013e+03,0.431,0.130,0.054,0.029,0.023
67.9,1.824e+03,1.504e+02,5.848e+02,2.559e+03,0.463,0.125,0.076,0.031,0.019
69.4,1.445e+03,1.035e+02,4.335e+02,1.982e+03,0.494,0.118,0.100,0.032,0.015
70.9,1.057e+03,2.756e+01,1.704e+02,1.255e+03,0.524,0.108,0.125,0.030,0.012
72.4,9.310e+02,1.211e+01,4.511e+01,9.882e+02,0.553,0.098,0.152,0.027,0.012
73.9,1.022e+03,2.527e+01,2.492e+01,1.072e+03,0.580,0.092,0.180,0.027,0.013
75.4,1.191e+03,3.634e+01,5.386e+01,1.282e+03,0.605,0.087,0.208,0.027,0.016
76.9,1.055e+03,1.790e+01,5.229e+01,1.125e+03,0.629,0.083,0.237,0.029,0.019
78.5,8.416e+02,1.053e+01,3.954e+01,8.917e+02,0.652,0.081,0.267,0.033,0.022
80.0,7.426e+02,1.345e+01,5.012e+01,8.062e+02,0.672,0.081,0.296,0.039,0.025
81.5,6.380e+02,1.800e+01,6.198e+01,7.180e+02,0.691,0.085,0.326,0.047,0.027
83.0,5.027e+02,2.030e+01,5.784e+01,5.808e+02,0.709,0.092,0.355,0.063,0.029
84.5,3.753e+02,1.969e+01,4.627e+01,4.413e+02,0.724,0.102,0.383,0.084,0.030
86.0,3.105e+02,1.837e+01,3.744e+01,3.663e+02,0.738,0.114,0.411,0.107,0.030
87.5,2.483e+02,2.066e+01,3.194e+01,3.009e+02,0.750,0.128,0.437,0.131,0.029
89.0,2.059e+02,2.310e+01,3.219e+01,2.612e+02,0.760,0.147,0.463,0.156,0.028
90.5,2.197e+02,2.487e+01,3.517e+01,2.797e+02,0.769,0.175,0.487,0.182,0.026
92.0,2.244e+02,2.173e+01,3.326e+01,2.794e+02,0.775,0.204,0.509,0.208,0.024
93.5,2.283e+02,1.508e+01,2.673e+01,2.701e+02,0.780,0.232,0.529,0.235,0.021
95.0,2.284e+02,1.330e+01,2.496e+01,2.667e+02,0.783,0.261,0.548,0.261,0.017
96.6,2.179e+02,1.348e+01,2.294e+01,2.544e+02,0.784,0.289,0.564,0.287,0.014
98.1,2.624e+02,1.139e+01,1.731e+01,2.911e+02,0.783,0.317,0.578,0.313,0.013
