freq,psd_x,psd_y,psd_z,psd_xyz,zv(49.6),mzv(48.4),ei(54.4),2hump_ei(59.0),3hump_ei(86.6)
99.6,3.499e+02,1.174e+01,1.401e+01,3.756e+02,0.781,0.345,0.590,0.337,0.012
101.1,3.858e+02,1.739e+01,1.542e+01,4.186e+02,0.777,0.372,0.600,0.361,0.012
102.6,3.644e+02,1.902e+01,1.621e+01,3.997e+02,0.771,0.399,0.607,0.383,0.012
104.1,3.705e+02,1.973e+01,1.519e+01,4.054e+02,0.763,0.424,0.612,0.403,0.013
105.6,4.396e+02,1.465e+01,1.184e+01,4.660e+02,0.754,0.448,0.614,0.421,0.014
107.1,4.482e+02,7.705e+00,8.879e+00,4.648e+02,0.743,0.472,0.614,0.437,0.017
108.6,4.324e+02,7.010e+00,8.366e+00,4.478e+02,0.731,0.493,0.611,0.450,0.020
110.1,4.318e+02,7.040e+00,9.221e+00,4.481e+02,0.717,0.514,0.606,0.461,0.022
111.6,4.688e+02,6.582e+00,1.003e+01,4.854e+02,0.701,0.533,0.599,0.470,0.024
113.2,5.371e+02,6.474e+00,1.029e+01,5.539e+02,0.684,0.551,0.589,0.476,0.025
114.7,6.282e+02,6.261e+00,1.080e+01,6.452e+02,0.666,0.566,0.578,0.479,0.025
116.2,7.123e+02,7.254e+00,1.351e+01,7.331e+02,0.646,0.580,0.564,0.479,0.024
117.7,6.815e+02,8.321e+00,1.568e+01,7.055e+02,0.625,0.593,0.548,0.476,0.023
119.2,6.181e+02,1.098e+01,1.849e+01,6.476e+02,0.603,0.603,0.530,0.471,0.024
120.7,7.219e+02,1.932e+01,2.828e+01,7.695e+02,0.580,0.611,0.511,0.463,0.025
122.2,1.355e+03,2.854e+01,3.905e+01,1.423e+03,0.555,0.618,0.491,0.453,0.026
123.7,1.925e+03,2.206e+01,2.779e+01,1.975e+03,0.530,0.622,0.469,0.441,0.027
125.2,1.944e+03,1.694e+01,1.802e+01,1.979e+03,0.504,0.625,0.445,0.426,0.030
126.7,2.280e+03,1.827e+01,1.800e+01,2.316e+03,0.477,0.626,0.421,0.410,0.032
128.2,2.834e+03,1.490e+01,1.570e+01,2.864e+03,0.449,0.624,0.396,0.391,0.036
129.7,3.094e+03,1.333e+01,1.527e+01,3.122e+03,0.421,0.621,0.371,0.371,0.040
131.3,3.233e+03,1.200e+01,1.592e+01,3.261e+03,0.392,0.616,0.345,0.350,0.049
132.8,2.221e+03,8.248e+00,1.154e+01,2.241e+03,0.372,0.609,0.319,0.328,0.062
134.3,5.984e+02,3.891e+00,4.731e+00,6.070e+02,0.357,0.600,0.293,0.305,0.076
135.8,4.500e+02,3.461e+00,3.784e+00,4.573e+02,0.343,0.590,0.267,0.282,0.091
137.3,4.698e+02,3.740e+00,3.827e+00,4.774e+02,0.330,0.578,0.241,0.258,0.107
138.8,4.404e+02,3.356e+00,3.456e+00,4.472e+02,0.318,0.564,0.216,0.234,0.123
140.3,4.311e+02,2.955e+00,2.726e+00,4.368e+02,0.308,0.549,0.192,0.211,0.140
141.8,4.105e+02,2.427e+00,2.226e+00,4.151e+02,0.299,0.532,0.169,0.188,0.157
143.3,4.340e+02,2.168e+00,2.195e+00,4.384e+02,0.292,0.514,0.157,0.166,0.175
144.8,4.202e+02,2.166e+00,1.947e+00,4.243e+02,0.287,0.495,0.147,0.145,0.192
146.3,4.270e+02,2.140e+00,1.663e+00,4.308e+02,0.284,0.475,0.137,0.125,0.209
147.9,4.390e+02,1.966e+00,1.707e+00,4.427e+02,0.282,0.454,0.129,0.106,0.226
149.4,4.349e+02,1.793e+00,1.780e+00,4.384e+02,0.283,0.432,0.122,0.094,0.243
150.9,4.445e+02,1.604e+00,1.641e+00,4.478e+02,0.285,0.410,0.115,0.087,0.259
152.4,4.551e+02,1.500e+00,1.689e+00,4.583e+02,0.289,0.387,0.110,0.080,0.274
153.9,4.540e+02,1.523e+00,1.681e+00,4.572e+02,0.295,0.364,0.105,0.075,0.289
155.4,4.209e+02,1.648e+00,1.776e+00,4.244e+02,0.302,0.340,0.102,0.070,0.303
156.9,3.378e+02,1.779e+00,1.900e+00,3.415e+02,0.310,0.316,0.099,0.066,0.316
158.4,3.376e+02,1.574e+00,1.768e+00,3.410e+02,0.320,0.293,0.097,0.062,0.327
159.9,3.393e+02,1.442e+00,1.696e+00,3.425e+02,0.330,0.270,0.096,0.059,0.338
161.4,3.191e+02,1.619e+00,1.811e+00,3.226e+02,0.340,0.247,0.095,0.057,0.347
162.9,2.667e+02,1.742e+00,2.054e+00,2.705e+02,0.351,0.226,0.095,0.054,0.355
164.4,2.460e+02,1.633e+00,2.064e+00,2.497e+02,0.362,0.216,0.096,0.052,0.361
166.0,2.586e+02,1.831e+00,2.410e+00,2.629e+02,0.385,0.207,0.097,0.051,0.366
167.5,2.798e+02,2.370e+00,3.191e+00,2.854e+02,0.409,0.198,0.099,0.050,0.369
169.0,2.648e+02,2.776e+00,3.829e+00,2.714e+02,0.432,0.190,0.102,0.049,0.371
170.5,2.233e+02,3.235e+00,4.157e+00,2.306e+02,0.454,0.183,0.105,0.048,0.372
172.0,1.721e+02,3.155e+00,3.732e+00,1.790e+02,0.475,0.177,0.109,0.047,0.371
173.5,1.330e+02,3.147e+00,3.334e+00,1.395e+02,0.495,0.171,0.113,0.047,0.368
175.0,1.025e+02,2.921e+00,3.192e+00,1.086e+02,0.514,0.167,0.118,0.047,0.364
176.5,7.459e+01,2.566e+00,2.892e+00,8.005e+01,0.532,0.163,0.123,0.047,0.358
178.0,5.654e+01,2.242e+00,2.479e+00,6.126e+01,0.549,0.159,0.129,0.047,0.351
179.5,4.163e+01,2.075e+00,2.184e+00,4.589e+01,0.565,0.157,0.135,0.048,0.343
181.0,3.334e+01,1.567e+00,1.777e+00,3.668e+01,0.579,0.154,0.142,0.048,0.334
182.6,3.426e+01,1.585e+00,1.937e+00,3.778e+01,0.592,0.153,0.149,0.049,0.324
184.1,3.222e+01,1.778e+00,2.105e+00,3.611e+01,0.603,0.151,0.163,0.050,0.312
185.6,2.649e+01,1.698e+00,1.982e+00,3.017e+01,0.614,0.151,0.181,0.052,0.300
187.1,1.835e+01,1.703e+00,1.913e+00,2.196e+01,0.623,0.150,0.199,0.053,0.287
188.6,1.343e+01,2.346e+00,1.919e+00,1.770e+01,0.630,0.150,0.218,0.055,0.273
190.1,9.306e+00,1.964e+00,1.652e+00,1.292e+01,0.636,0.150,0.236,0.057,0.258
191.6,6.482e+00,1.288e+00,1.244e+00,9.014e+00,0.641,0.150,0.255,0.059,0.244
193.1,5.382e+00,1.133e+00,9.977e-01,7.513e+00,0.645,0.150,0.273,0.061,0.228
194.6,5.089e+00,1.065e+00,8.671e-01,7.021e+00,0.647,0.151,0.290,0.064,0.213
196.1,5.157e+00,1.174e+00,9.394e-01,7.271e+00,0.647,0.151,0.307,0.067,0.198
197.6,5.465e+00,1.206e+00,1.088e+00,7.759e+00,0.647,0.152,0.323,0.070,0.182
199.1,5.774e+00,1.158e+00,1.131e+00,8.062e+00,0.645,0.153,0.338,0.073,0.167
