freq,psd_x,psd_y,psd_z,psd_xyz
183.5,1.591e+03,7.987e+02,6.649e+02,3.054e+03
185.0,1.507e+03,7.948e+02,7.315e+02,3.034e+03
186.5,1.591e+03,7.792e+02,1.042e+03,3.413e+03
188.0,1.567e+03,8.516e+02,1.241e+03,3.660e+03
189.4,1.190e+03,9.495e+02,1.106e+03,3.246e+03
190.9,1.092e+03,9.224e+02,9.332e+02,2.948e+03
192.4,1.408e+03,1.046e+03,7.907e+02,3.245e+03
193.9,1.462e+03,1.138e+03,7.513e+02,3.351e+03
195.4,1.046e+03,8.812e+02,6.563e+02,2.583e+03
196.8,1.163e+03,8.911e+02,6.249e+02,2.679e+03
198.3,1.250e+03,9.311e+02,6.562e+02,2.837e+03
199.8,1.142e+03,9.373e+02,5.822e+02,2.661e+03
