freq,psd_x,psd_y,psd_z,psd_xyz
171.7,1.193e+04,8.580e+02,1.550e+02,1.294e+04
173.3,1.148e+04,7.189e+02,1.431e+02,1.234e+04
174.8,1.148e+04,6.996e+02,1.558e+02,1.233e+04
176.4,1.158e+04,7.302e+02,1.626e+02,1.247e+04
178.0,1.272e+04,6.836e+02,1.528e+02,1.356e+04
179.5,1.471e+04,6.464e+02,1.526e+02,1.551e+04
181.1,1.616e+04,6.440e+02,1.517e+02,1.696e+04
182.6,1.715e+04,5.899e+02,1.390e+02,1.788e+04
184.2,1.672e+04,4.897e+02,1.287e+02,1.734e+04
185.8,1.554e+04,4.707e+02,1.419e+02,1.616e+04
187.3,1.499e+04,4.482e+02,1.471e+02,1.558e+04
188.9,1.513e+04,4.298e+02,1.362e+02,1.570e+04
190.4,1.446e+04,3.878e+02,1.249e+02,1.498e+04
192.0,1.372e+04,3.751e+02,1.151e+02,1.421e+04
193.6,1.433e+04,4.089e+02,1.109e+02,1.485e+04
195.1,1.473e+04,4.609e+02,1.092e+02,1.530e+04
196.7,1.580e+04,4.978e+02,1.189e+02,1.642e+04
198.2,1.797e+04,5.493e+02,1.257e+02,1.865e+04
199.8,1.700e+04,5.806e+02,1.317e+02,1.771e+04
