freq,psd_x,psd_y,psd_z,psd_xyz
136.9,3.876e+01,5.247e+01,1.922e+02,2.834e+02
138.4,4.416e+01,4.935e+01,1.882e+02,2.817e+02
139.9,4.735e+01,4.479e+01,1.579e+02,2.501e+02
141.4,5.245e+01,3.682e+01,1.253e+02,2.145e+02
143.0,5.835e+01,3.060e+01,1.072e+02,1.961e+02
144.5,5.664e+01,3.201e+01,9.247e+01,1.811e+02
146.0,4.316e+01,2.960e+01,9.119e+01,1.639e+02
147.5,3.298e+01,2.675e+01,9.214e+01,1.519e+02
149.0,2.668e+01,2.735e+01,9.567e+01,1.497e+02
150.6,2.859e+01,2.750e+01,8.729e+01,1.434e+02
152.1,2.916e+01,2.993e+01,7.515e+01,1.342e+02
153.6,2.792e+01,3.134e+01,6.635e+01,1.256e+02
155.1,2.841e+01,3.415e+01,6.790e+01,1.305e+02
156.7,3.065e+01,4.241e+01,6.945e+01,1.425e+02
158.2,3.626e+01,6.278e+01,7.701e+01,1.761e+02
159.7,6.438e+01,1.088e+02,7.578e+01,2.490e+02
161.2,1.079e+02,1.581e+02,7.668e+01,3.427e+02
162.7,1.262e+02,2.138e+02,8.843e+01,4.284e+02
164.3,9.701e+01,2.155e+02,8.785e+01,4.004e+02
165.8,3.570e+01,6.316e+01,7.531e+01,1.742e+02
167.3,2.375e+01,3.586e+01,7.566e+01,1.353e+02
168.8,2.520e+01,4.511e+01,7.462e+01,1.449e+02
170.3,2.442e+01,4.293e+01,6.776e+01,1.351e+02
171.9,2.432e+01,3.966e+01,6.081e+01,1.248e+02
173.4,2.407e+01,3.822e+01,6.543e+01,1.277e+02
174.9,2.277e+01,3.403e+01,6.646e+01,1.233e+02
176.4,2.431e+01,3.323e+01,5.637e+01,1.139e+02
177.9,2.373e+01,3.531e+01,5.408e+01,1.131e+02
179.5,2.380e+01,3.080e+01,5.784e+01,1.125e+02
181.0,2.317e+01,2.803e+01,5.680e+01,1.080e+02
182.5,2.454e+01,2.734e+01,5.646e+01,1.083e+02
184.0,2.592e+01,2.867e+01,5.969e+01,1.143e+02
185.5,2.353e+01,2.877e+01,5.532e+01,1.076e+02
187.1,2.634e+01,2.780e+01,5.756e+01,1.117e+02
188.6,2.427e+01,2.744e+01,5.720e+01,1.089e+02
190.1,2.174e+01,2.524e+01,5.839e+01,1.054e+02
191.6,2.386e+01,2.514e+01,5.948e+01,1.085e+02
193.2,2.577e+01,2.790e+01,5.890e+01,1.126e+02
194.7,2.438e+01,3.274e+01,5.627e+01,1.134e+02
196.2,2.241e+01,3.230e+01,5.823e+01,1.129e+02
197.7,2.299e+01,3.198e+01,5.653e+01,1.115e+02
199.2,2.214e+01,3.466e+01,5.595e+01,1.127e+02
