freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.084e+01,1.692e+02,3.062e+02,4.963e+02
1.6,2.874e+01,2.329e+02,2.109e+02,4.725e+02
3.1,2.385e+01,1.726e+02,6.155e+01,2.580e+02
4.7,2.099e+01,3.823e+02,6.351e+01,4.668e+02
6.2,2.117e+01,1.013e+03,6.550e+01,1.100e+03
7.8,2.525e+01,1.405e+03,7.358e+01,1.504e+03
9.3,3.943e+01,2.041e+03,8.917e+01,2.169e+03
10.9,3.831e+01,2.818e+03,1.010e+02,2.958e+03
12.5,2.989e+01,3.883e+03,1.440e+02,4.057e+03
14.0,2.801e+01,5.039e+03,2.097e+02,5.276e+03
15.6,2.454e+01,6.449e+03,2.939e+02,6.767e+03
17.1,2.443e+01,8.298e+03,5.001e+02,8.822e+03
18.7,2.701e+01,1.038e+04,9.328e+02,1.134e+04
20.3,2.940e+01,1.261e+04,1.418e+03,1.406e+04
21.8,3.258e+01,1.555e+04,1.562e+03,1.714e+04
23.4,4.380e+01,2.048e+04,2.017e+03,2.254e+04
24.9,7.131e+01,2.680e+04,3.970e+03,3.084e+04
26.5,9.536e+01,2.973e+04,6.898e+03,3.672e+04
28.0,1.031e+02,2.811e+04,7.543e+03,3.576e+04
29.6,1.205e+02,3.161e+04,6.756e+03,3.849e+04
31.2,2.139e+02,4.298e+04,7.571e+03,5.077e+04
32.7,9.227e+02,6.154e+04,1.095e+04,7.341e+04
34.3,2.355e+03,8.984e+04,3.033e+04,1.225e+05
35.8,2.533e+03,1.234e+05,8.304e+04,2.089e+05
37.4,3.261e+03,1.467e+05,1.490e+05,2.989e+05
39.0,3.862e+03,1.546e+05,2.091e+05,3.675e+05
40.5,4.218e+03,1.336e+05,2.669e+05,4.047e+05
42.1,3.835e+03,1.065e+05,3.359e+05,4.463e+05
43.6,6.642e+03,9.114e+04,5.189e+05,6.167e+05
45.2,1.676e+04,6.223e+04,7.987e+05,8.777e+05
46.7,3.773e+04,4.807e+04,1.112e+06,1.198e+06
48.3,6.921e+04,7.302e+04,1.289e+06,1.432e+06
49.9,8.255e+04,9.985e+04,1.060e+06,1.242e+06
51.4,7.634e+04,1.044e+05,7.370e+05,9.178e+05
53.0,6.449e+04,9.263e+04,4.925e+05,6.497e+05
54.5,5.243e+04,7.932e+04,3.416e+05,4.734e+05
56.1,4.144e+04,6.940e+04,2.569e+05,3.677e+05
57.7,2.922e+04,6.225e+04,2.265e+05,3.179e+05
59.2,2.039e+04,5.757e+04,2.307e+05,3.087e+05
60.8,1.949e+04,5.246e+04,2.141e+05,2.860e+05
62.3,1.837e+04,4.779e+04,1.799e+05,2.460e+05
63.9,1.507e+04,4.275e+04,1.407e+05,1.985e+05
65.4,8.394e+03,3.701e+04,1.121e+05,1.575e+05
67.0,3.153e+03,3.121e+04,9.610e+04,1.305e+05
68.6,1.102e+03,2.637e+04,8.674e+04,1.142e+05
70.1,5.526e+02,2.264e+04,7.795e+04,1.011e+05
71.7,4.090e+02,1.903e+04,6.625e+04,8.570e+04
73.2,3.044e+02,1.542e+04,5.390e+04,6.962e+04
74.8,2.459e+02,1.255e+04,4.487e+04,5.767e+04
76.4,1.960e+02,1.093e+04,3.990e+04,5.103e+04
77.9,1.658e+02,9.527e+03,3.588e+04,4.558e+04
79.5,1.493e+02,8.191e+03,3.267e+04,4.101e+04
81.0,1.380e+02,7.019e+03,3.000e+04,3.716e+04
82.6,1.541e+02,5.846e+03,2.726e+04,3.326e+04
84.1,1.513e+02,5.055e+03,2.645e+04,3.165e+04
85.7,1.198e+02,4.816e+03,2.652e+04,3.146e+04
87.3,1.003e+02,4.742e+03,2.509e+04,2.993e+04
88.8,9.955e+01,4.434e+03,2.281e+04,2.734e+04
90.4,1.027e+02,4.101e+03,2.144e+04,2.564e+04
