freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.853e+00,1.364e+02,2.016e+02,3.478e+02
1.6,2.074e+01,8.800e+01,1.569e+02,2.656e+02
3.1,2.114e+01,3.237e+01,6.169e+01,1.152e+02
4.7,2.257e+01,4.163e+02,6.101e+01,4.999e+02
6.2,2.187e+01,1.291e+03,6.318e+01,1.376e+03
7.8,2.363e+01,2.049e+03,6.705e+01,2.139e+03
9.3,4.027e+01,3.112e+03,8.198e+01,3.234e+03
10.9,3.968e+01,4.535e+03,1.262e+02,4.701e+03
12.5,3.033e+01,6.186e+03,2.059e+02,6.423e+03
14.0,2.699e+01,7.898e+03,2.945e+02,8.220e+03
15.6,2.103e+01,1.046e+04,4.906e+02,1.097e+04
17.1,2.318e+01,1.408e+04,9.985e+02,1.511e+04
18.7,2.713e+01,1.851e+04,1.826e+03,2.036e+04
20.3,3.654e+01,2.419e+04,2.692e+03,2.692e+04
21.8,4.941e+01,3.339e+04,3.696e+03,3.713e+04
23.4,8.930e+01,5.308e+04,6.242e+03,5.941e+04
24.9,1.850e+02,7.580e+04,1.329e+04,8.928e+04
26.5,2.246e+02,7.967e+04,1.980e+04,9.970e+04
28.0,2.486e+02,7.060e+04,2.011e+04,9.096e+04
29.6,3.021e+02,6.746e+04,1.906e+04,8.682e+04
31.2,4.540e+02,8.585e+04,2.211e+04,1.084e+05
32.7,1.287e+03,1.033e+05,2.779e+04,1.323e+05
34.3,3.061e+03,1.173e+05,4.597e+04,1.664e+05
35.8,3.426e+03,1.220e+05,8.819e+04,2.136e+05
37.4,3.698e+03,9.926e+04,1.367e+05,2.397e+05
39.0,3.544e+03,7.552e+04,1.591e+05,2.381e+05
40.5,3.180e+03,6.359e+04,1.555e+05,2.222e+05
42.1,2.832e+03,4.810e+04,2.060e+05,2.569e+05
43.6,2.857e+03,3.715e+04,3.100e+05,3.501e+05
45.2,7.082e+03,3.145e+04,5.117e+05,5.502e+05
46.7,1.619e+04,2.592e+04,7.149e+05,7.570e+05
48.3,1.958e+04,2.238e+04,6.159e+05,6.579e+05
49.9,1.728e+04,2.054e+04,3.791e+05,4.169e+05
51.4,1.504e+04,1.815e+04,2.198e+05,2.530e+05
53.0,1.314e+04,1.448e+04,1.254e+05,1.530e+05
54.5,1.503e+04,1.220e+04,8.569e+04,1.129e+05
56.1,1.813e+04,1.221e+04,7.497e+04,1.053e+05
57.6,1.451e+04,1.339e+04,7.625e+04,1.041e+05
59.2,9.489e+03,1.466e+04,8.647e+04,1.106e+05
60.8,8.442e+03,1.347e+04,7.754e+04,9.946e+04
62.3,7.913e+03,1.284e+04,6.819e+04,8.894e+04
63.9,5.999e+03,1.208e+04,5.719e+04,7.527e+04
65.4,3.622e+03,1.086e+04,4.960e+04,6.408e+04
67.0,1.636e+03,9.386e+03,4.696e+04,5.798e+04
68.6,5.538e+02,7.995e+03,4.412e+04,5.266e+04
70.1,2.214e+02,6.580e+03,4.041e+04,4.721e+04
71.7,1.499e+02,5.232e+03,3.612e+04,4.150e+04
73.2,1.078e+02,4.048e+03,3.015e+04,3.430e+04
74.8,6.968e+01,3.127e+03,2.524e+04,2.844e+04
76.3,6.640e+01,2.547e+03,2.356e+04,2.618e+04
77.9,6.451e+01,2.037e+03,2.347e+04,2.557e+04
79.5,7.389e+01,1.754e+03,2.521e+04,2.704e+04
81.0,7.791e+01,1.740e+03,3.075e+04,3.257e+04
82.6,8.257e+01,1.479e+03,3.661e+04,3.817e+04
84.1,8.556e+01,1.281e+03,4.247e+04,4.383e+04
85.7,7.799e+01,1.896e+03,4.319e+04,4.517e+04
87.3,7.299e+01,2.913e+03,3.462e+04,3.761e+04
88.8,7.182e+01,3.485e+03,2.427e+04,2.782e+04
90.4,7.589e+01,3.416e+03,1.664e+04,2.013e+04
91.9,8.137e+01,3.212e+03,1.373e+04,1.703e+04
93.5,8.737e+01,3.234e+03,1.297e+04,1.629e+04
