freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.718e+02,1.385e+01,4.981e+01,3.355e+02
1.6,1.635e+02,2.360e+01,6.910e+01,2.562e+02
3.2,4.348e+01,2.102e+01,5.640e+01,1.209e+02
4.8,5.334e+02,2.107e+01,5.853e+01,6.130e+02
6.4,1.549e+03,2.324e+01,5.689e+01,1.629e+03
8.0,2.311e+03,2.190e+01,5.810e+01,2.391e+03
9.6,3.439e+03,2.299e+01,5.927e+01,3.521e+03
11.2,4.807e+03,2.071e+01,5.640e+01,4.884e+03
12.8,6.386e+03,2.211e+01,5.621e+01,6.464e+03
14.5,8.135e+03,2.338e+01,6.020e+01,8.219e+03
16.1,1.028e+04,2.435e+01,6.454e+01,1.037e+04
17.7,1.282e+04,2.596e+01,7.399e+01,1.292e+04
19.3,1.582e+04,2.798e+01,8.222e+01,1.593e+04
20.9,1.961e+04,3.081e+01,9.768e+01,1.974e+04
22.5,2.374e+04,4.265e+01,1.163e+02,2.390e+04
24.1,2.857e+04,7.076e+01,1.102e+02,2.875e+04
25.7,3.462e+04,1.261e+02,9.018e+01,3.483e+04
27.3,4.365e+04,2.334e+02,7.021e+01,4.396e+04
28.9,5.338e+04,3.745e+02,9.390e+01,5.385e+04
30.5,6.832e+04,4.874e+02,3.439e+02,6.915e+04
32.1,8.467e+04,6.194e+02,2.101e+03,8.739e+04
33.7,8.057e+04,5.490e+02,6.308e+03,8.742e+04
35.3,8.021e+04,3.695e+02,1.459e+04,9.518e+04
36.9,7.882e+04,4.225e+02,1.467e+04,9.392e+04
38.5,9.228e+04,9.841e+02,6.953e+03,1.002e+05
40.1,1.406e+05,1.841e+03,4.388e+03,1.468e+05
41.8,2.444e+05,3.442e+03,9.132e+03,2.570e+05
43.4,4.008e+05,6.192e+03,2.773e+04,4.347e+05
45.0,4.288e+05,6.638e+03,6.544e+04,5.009e+05
46.6,3.237e+05,3.859e+03,9.632e+04,4.239e+05
48.2,2.216e+05,5.126e+03,8.370e+04,3.105e+05
49.8,1.616e+05,7.360e+03,6.600e+04,2.350e+05
51.4,1.377e+05,7.128e+03,5.777e+04,2.026e+05
53.0,1.559e+05,6.289e+03,4.942e+04,2.117e+05
54.6,2.816e+05,8.335e+03,5.041e+04,3.403e+05
